strategy,num_decks,s17_h17,penetration,bet_size,card_counting,mean_bankroll,std_dev,CI95,profit_realized,casino_advantage,total_player_win,total_ties,total_computer_win,median,q1,q3,min_bankroll,max_bankroll,bet_mean,bet_median,max_bet,percent5,percent95
basic,1,S17,0.25,running,Hi-Lo,9929.05,2235.07,"(9885.24, 9972.86)",48.23,0.42,439280,91275,489374,9950.0,8450.0,11400.0,700.0,19500.0,166.41,100.0,2200,6200.0,13600.0
basic,1,S17,0.25,running,KISS3,10005.85,2307.75,"(9960.61, 10051.09)",49.58,-0.03,439608,91583,488643,10000.0,8450.0,11500.0,1050.0,19400.0,167.5,100.0,2200,6250.0,13850.0
basic,1,S17,0.25,running,ZEN,9931.61,3892.05,"(9855.32, 10007.9)",49.13,0.27,439094,91261,489353,9950.0,7400.0,12450.0,-4500.0,24850.0,193.84,100.0,3000,3500.0,16350.0
basic,1,S17,0.25,running,Hi-Opt 2,9885.12,3550.19,"(9815.53, 9954.71)",48.13,0.48,438695,91710,489411,9850.0,7550.0,12200.0,-5000.0,23450.0,203.47,100.0,3000,4150.0,15800.0
basic,1,S17,0.25,running,Wong Halves,9983.15,2350.77,"(9937.07, 10029.23)",49.14,0.1,438972,91431,489404,9975.0,8425.0,11550.0,275.0,19850.0,197.52,100.0,3000,6097.500000000001,13850.0
basic,1,S17,0.25,running,Revere RAPC,9640.02,6446.78,"(9513.66, 9766.39)",47.26,0.92,438926,90940,489817,9600.0,5350.0,13900.0,-18750.0,35500.0,228.81,100.0,3000,-750.0,20200.0
basic,1,S17,0.25,true,Hi-Lo,10137.19,2906.93,"(10080.21, 10194.17)",51.56,-0.7,438401,91474,489513,10150.0,8200.0,12050.0,-1450.0,20900.0,223.61,100.0,3000,5350.0,14950.0
basic,1,S17,0.25,true,KISS3,10154.12,2989.5,"(10095.52, 10212.71)",52.19,-0.77,438608,91457,489525,10200.0,8100.0,12150.0,-500.0,23800.0,220.24,100.0,3000,5300.0,15100.0
basic,1,S17,0.25,true,ZEN,10224.52,4682.78,"(10132.73, 10316.31)",51.5,-0.8,439043,91552,489119,10200.0,7150.0,13350.0,-8750.0,28150.0,226.33,100.0,3000,2500.0,17900.0
basic,1,S17,0.25,true,Hi-Opt 2,10216.09,4431.07,"(10129.24, 10302.95)",51.63,-0.81,439052,90977,489656,10200.0,7250.0,13200.0,-8000.0,28000.0,229.89,100.0,3000,2950.0,17400.0
basic,1,S17,0.25,true,Wong Halves,10178.52,3009.16,"(10119.54, 10237.51)",51.91,-0.88,439420,91661,488773,10150.0,8150.0,12150.0,-1300.0,21500.0,227.01,100.0,3000,5300.0,15200.0
basic,1,S17,0.25,true,Revere RAPC,10484.4,6654.56,"(10353.96, 10614.84)",52.54,-1.27,439292,91366,489156,10400.0,6150.0,14850.0,-17600.0,37600.0,239.29,100.0,3000,-400.0,21650.0
basic,1,S17,0.25,true*2,Hi-Lo,10346.66,5070.65,"(10247.27, 10446.06)",52.29,-1.17,439433,91721,488531,10300.0,6900.0,13750.0,-12750.0,32300.0,243.28,100.0,3000,2050.0,18650.0
basic,1,S17,0.25,true*2,KISS3,10278.71,5119.95,"(10178.35, 10379.07)",52.66,-0.92,439102,91392,489238,10350.0,6850.0,13650.0,-10450.0,29850.0,247.11,100.0,3000,1945.0000000000016,18650.0
basic,1,S17,0.25,true*2,ZEN,10362.01,6868.8,"(10227.37, 10496.65)",52.07,-0.91,438286,91676,490001,10350.0,5700.0,14950.0,-14850.0,41500.0,256.55,100.0,3000,-850.0,21650.0
basic,1,S17,0.25,true*2,Hi-Opt 2,10298.67,6674.92,"(10167.84, 10429.51)",51.21,-0.78,438802,91701,489228,10250.0,5800.0,14700.0,-15350.0,36850.0,264.0,100.0,3000,-600.0,21300.0
basic,1,S17,0.25,true*2,Wong Halves,10306.9,5301.73,"(10202.97, 10410.82)",52.16,-1.0,439359,91716,488770,10300.0,6750.0,13800.0,-13850.0,33100.0,266.17,100.0,3000,1600.0,19150.0
basic,1,S17,0.25,true*2,Revere RAPC,10557.85,8005.9,"(10400.92, 10714.78)",52.73,-1.18,438911,91568,489128,10650.0,5200.0,15950.0,-20150.0,39500.0,277.11,100.0,3000,-2550.0,23805.00000000002
basic,1,S17,0.25,true+2,Hi-Lo,10203.05,4065.68,"(10123.36, 10282.74)",51.44,-0.67,438005,91584,490168,10150.0,7500.0,12925.0,-5050.0,25800.0,278.13,100.0,3000,3550.0,17000.0
basic,1,S17,0.25,true+2,KISS3,10188.26,4163.26,"(10106.66, 10269.87)",52.26,-0.61,438645,91794,489214,10250.0,7450.0,13000.0,-5900.0,29700.0,279.32,100.0,3000,3300.0,16900.0
basic,1,S17,0.25,true+2,ZEN,10340.36,5739.55,"(10227.86, 10452.87)",51.84,-0.89,439378,91011,489253,10300.0,6500.0,14200.0,-14000.0,33300.0,283.81,100.0,3000,950.0,19700.0
basic,1,S17,0.25,true+2,Hi-Opt 2,10265.37,5417.32,"(10159.18, 10371.56)",51.72,-0.72,438452,91800,489556,10250.0,6675.0,13750.0,-13350.0,30600.0,287.35,100.0,3000,1450.0,19300.0
basic,1,S17,0.25,true+2,Wong Halves,10271.28,4270.64,"(10187.57, 10354.99)",51.92,-0.88,439463,91367,488739,10250.0,7500.0,13050.0,-7150.0,26350.0,288.0,100.0,3000,3400.0,17400.0
basic,1,S17,0.25,true+2,Revere RAPC,10430.05,7223.08,"(10288.47, 10571.64)",51.91,-0.92,438881,91441,489376,10350.0,5550.0,15200.0,-16550.0,39300.0,295.12,100.0,3000,-1250.0,22400.0
basic,1,S17,0.25,true-2,Hi-Lo,10097.63,2097.62,"(10056.52, 10138.75)",51.11,-0.63,439490,91362,489058,10100.0,8700.0,11500.0,2000.0,18800.0,289.36,100.0,3000,6700.0,13600.0
basic,1,S17,0.25,true-2,KISS3,10067.8,2166.47,"(10025.34, 10110.27)",50.43,-0.43,438572,91471,489737,10050.0,8650.0,11450.0,400.0,20450.0,284.15,100.0,3000,6500.0,13650.0
basic,1,S17,0.25,true-2,ZEN,10241.5,3886.73,"(10165.31, 10317.69)",52.36,-1.04,439831,91363,488538,10250.0,7700.0,12750.0,-4050.0,27150.0,282.03,100.0,3000,3900.0,16650.0
basic,1,S17,0.25,true-2,Hi-Opt 2,10212.64,3582.44,"(10142.42, 10282.86)",51.98,-0.98,439424,91395,488897,10200.0,7850.0,12550.0,-4250.0,23550.0,279.57,100.0,3000,4300.0,16100.0
basic,1,S17,0.25,true-2,Wong Halves,10105.45,2264.49,"(10061.06, 10149.83)",51.22,-0.66,439018,91686,488948,10100.0,8600.0,11600.0,200.0,19150.0,275.31,100.0,3000,6400.0,13850.0
basic,1,S17,0.25,true-2,Revere RAPC,10492.71,6021.56,"(10374.68, 10610.75)",53.32,-1.45,439735,91561,488408,10450.0,6450.0,14350.0,-13450.0,35150.0,277.24,100.0,3000,650.0,20550.0
basic,1,S17,0.5,running,Hi-Lo,10021.62,2537.81,"(9971.87, 10071.36)",49.28,-0.12,438895,91565,489237,10000.0,8350.0,11650.0,250.0,20350.0,274.13,100.0,3000,5850.0,14250.0
basic,1,S17,0.5,running,KISS3,10039.38,2515.19,"(9990.08, 10088.68)",50.34,-0.21,439260,91126,489224,10050.0,8400.0,11650.0,-650.0,23100.0,271.27,100.0,3000,5950.0,14150.0
basic,1,S17,0.5,running,ZEN,10123.76,4349.72,"(10038.5, 10209.02)",50.48,-0.44,439501,91547,488719,10050.0,7250.0,12900.0,-10400.0,27500.0,271.34,100.0,3000,3100.0,17400.0
basic,1,S17,0.5,running,Hi-Opt 2,10017.63,4077.6,"(9937.7, 10097.55)",49.64,-0.07,438202,91349,489826,10000.0,7350.0,12700.0,-10950.0,25750.0,271.02,100.0,3000,3395.000000000002,16800.0
basic,1,S17,0.5,running,Wong Halves,10029.56,2609.3,"(9978.41, 10080.7)",50.01,-0.15,439354,90536,489936,10025.0,8300.0,11700.0,-2800.0,21425.0,268.66,100.0,3000,5772.500000000001,14350.0
basic,1,S17,0.5,running,Revere RAPC,10029.23,7023.06,"(9891.57, 10166.9)",49.67,-0.07,439003,91259,489523,9950.0,5400.0,14550.0,-19600.0,41750.0,272.97,100.0,3000,-1550.0,21550.0
basic,1,S17,0.5,true,Hi-Lo,10345.11,3889.86,"(10268.87, 10421.36)",52.77,-1.38,439449,91314,489105,10300.0,7825.0,12800.0,-6600.0,28200.0,272.24,100.0,3000,4100.0,16700.0
basic,1,S17,0.5,true,KISS3,10374.94,3835.01,"(10299.77, 10450.11)",53.48,-1.48,440303,91136,488235,10350.0,7850.0,12850.0,-10400.0,33950.0,271.6,100.0,3000,4150.0,16700.0
basic,1,S17,0.5,true,ZEN,10559.2,5975.24,"(10442.07, 10676.32)",53.31,-1.52,438679,91276,489855,10500.0,6600.0,14500.0,-12850.0,34650.0,273.91,100.0,3000,700.0,20550.0
basic,1,S17,0.5,true,Hi-Opt 2,10479.62,5756.21,"(10366.79, 10592.45)",53.08,-1.36,439156,91072,489435,10400.0,6600.0,14200.0,-18950.0,41100.0,275.72,100.0,3000,1350.0,19900.0
basic,1,S17,0.5,true,Wong Halves,10358.91,4028.72,"(10279.94, 10437.88)",52.5,-1.38,439150,91189,489390,10250.0,7700.0,12950.0,-4750.0,28500.0,275.19,100.0,3000,3850.0,17150.0
basic,1,S17,0.5,true,Revere RAPC,10735.91,7906.46,"(10580.93, 10890.89)",53.35,-1.5,438299,91384,490041,10650.0,5500.0,15925.0,-19450.0,44900.0,280.1,100.0,3000,-2000.0,23850.0
basic,1,S17,0.5,true*2,Hi-Lo,10654.28,6517.92,"(10526.52, 10782.04)",53.84,-1.67,439133,91282,489582,10650.0,6350.0,14950.0,-17400.0,34950.0,282.51,100.0,3000,100.0,21450.0
basic,1,S17,0.5,true*2,KISS3,10679.69,6447.86,"(10553.3, 10806.08)",54.12,-1.72,439328,91390,489059,10650.0,6400.0,14900.0,-12950.0,38900.0,284.87,100.0,3000,150.0,21250.0
